77100,Vanja| Fire Giant Queen,7.99,08/26/13,Bones
77101,Skorg Ironskull| Fire Giant King,9.99,08/26/13,Bones
77102,Ebonwrath| Dragon,19.99,08/26/13,Bones
77103,Nor'Okk| Ettin,4.99,08/26/13,Bones
77104,Blacktongue| Gnoll Archer,2.99,08/26/13,Bones
77105,Kagunk| Ogre Chieftain,3.49,08/26/13,Bones
77106,Boerogg Blackrime| Frost Giant Jarl,9.99,08/26/13,Bones
77107,Svetlana| Frost Giant Princess,7.99,08/26/13,Bones
77108,Shadow Dragon,11.99,08/26/13,Bones
77109,Fire Dragon,12.99,08/26/13,Bones
77110,Deathsleet,19.99,08/26/13,Bones
77111,Rauthuros| Demon,12.99,08/26/13,Bones
77112,Agramon| Pit Fiend,11.99,08/26/13,Bones
77113,Eldritch Demon,5.99,08/26/13,Bones
77114,Faceless Horror,3.29,08/26/13,Bones
77115,Shoggoth,2.49,08/26/13,Bones
77116,Colossal Skeleton,14.99,08/26/13,Bones
77117,Vandorendra| Snake Demon,2.99,08/26/13,Bones
77118,Tiviel| Hellborn Rogue,2.79,08/26/13,Bones
77119,Sinessa| Hellborn Sorceress,2.49,08/26/13,Bones
77120,Vaeloth| Hellborn Paladin,2.29,08/26/13,Bones
77121,Liela| Dark Elf Wizard,2.49,08/26/13,Bones
77122,Tierdeleira| Dark Elf Cleric,2.79,08/26/13,Bones
77123,Zalash| Dark Elf Assassin,2.49,08/26/13,Bones
77124,Dark Elf Warrior,2.49,08/26/13,Bones
77125,Vermin Scorpions,2.49,08/26/13,Bones
77126,Vermin Spiders (2),2.49,08/26/13,Bones
77127,Vermin Beetles,2.49,08/26/13,Bones
77128,Vermin Spider Swarm (2),2.49,08/26/13,Bones
77129,Vermin Rat Swarm (2),2.49,08/26/13,Bones
77130,Vermin Beetle Swarm (2),2.49,08/26/13,Bones
77131,Finaela|Female  Pirate,2.49,08/26/13,Bones
77132,Barnabus Frost| Pirate Captain,2.99,08/26/13,Bones
77133,Gruff Grimecleaver| Dwarf Pirate,1.99,08/26/13,Bones
77134,Hajad| Pirate,2.49,08/26/13,Bones
77135,Mariel Twinspar| Female Pirate,2.29,08/26/13,Bones
77136,Well of Chaos,3.29,08/26/13,Bones
77137,Sarcophagus,3.29,08/26/13,Bones
77138,Treasure Pile & Candleabra,2.99,08/26/13,Bones
77139,Altar of Evil,2.79,08/26/13,Bones
77140,Townsfolk Village Rioter,2.49,08/26/13,Bones
77141,Townsfolk Oswald the Overladen,2.79,08/26/13,Bones
77142,Townsfolk Blacksmith,2.49,08/26/13,Bones
77143,Townsfolk Undertaker,2.49,08/26/13,Bones
77144,Mummy (3),5.49,08/26/13,Bones
77145,Mummy Captain,2.49,08/26/13,Bones
77146,Mummy Warrior (3),5.49,08/26/13,Bones
77147,Mummy Lich,2.99,08/26/13,Bones
77148,Mangu Timur,2.99,08/26/13,Bones
77149,Damien| Hellborn Wizard,2.49,08/26/13,Bones
77150,Ragnaros| Evil Warrior,2.99,08/26/13,Bones
77151,Darkrasp| Evil Priest,2.79,08/26/13,Bones
77152,Marsh Troll,4.99,08/26/13,Bones
77153,Snakeman Warrior,2.79,08/26/13,Bones
77154,Lizardman Spearman,2.79,08/26/13,Bones
77155,Lizardman Warrior,2.79,08/26/13,Bones
77156,Owlbear,6.99,08/26/13,Bones
77157,Griffon,7.99,08/26/13,Bones
77158,Arrius| Skeletal Warrior,2.49,08/26/13,Bones
77159,Ghast,2.49,08/26/13,Bones
77160,Judas Bloodspire| Vampire,2.79,08/26/13,Bones
77161,Ghost King,2.79,08/26/13,Bones
77162,Yephima| Female Cloud Giant,6.99,08/26/13,Bones
77163,Male Storm Giant,9.99,08/26/13,Bones
77164,Elliwyn Heatherlark| Gnome Bard,1.99,08/26/13,Bones
77165,Hellakin Goregutter| Halfling Rogue,1.99,08/26/13,Bones
77166,Balto Burrowell| Gnome Wizard,1.99,08/26/13,Bones
77167,Ingrid| Female Gnome,1.99,08/26/13,Bones
77168,Battleguard Golem,2.79,08/26/13,Bones
77169,Flesh Golem,2.49,08/26/13,Bones
77170,Clay Golem,2.79,08/26/13,Bones
77171,Stone Golem,2.99,08/26/13,Bones
77172,Malek Necromancer,2.79,08/26/13,Bones
77173,Terezinya| Bonepander Wizard,2.49,08/26/13,Bones
77174,Leisynn| Mercenary Mage,2.49,08/26/13,Bones
77175,Ghoul Queen,2.49,08/26/13,Bones
77176,Familiars,1.99,08/26/13,Bones
77177,Wyrmgear| Clockwork Dragon,24.99,08/26/13,Bones
